konae,rarangi,kupu,root,suffix,nominal,double_passive
mbc265-not-stripped.txt,93,fakahaerehia,fakahaere,hia,no,no
mbc265-not-stripped.txt,91,fakamAramahia,fakamArama,hia,no,no
mbc265-not-stripped.txt,81,taea,tae,a,no,no
mbc171-not-stripped.txt,25,taea,tae,a,no,no
mbc171-not-stripped.txt,35,Afinatia,Afina,tia,no,no
mbc072-not-stripped.txt,30,patua,patu,a,no,no
mbc072-not-stripped.txt,30,takahia,takahi,a,no,no
mbc270-not-stripped.txt,20,tOia,tO,ia,no,no
mbc270-not-stripped.txt,17,mAtakitakitia,mAtakitaki,tia,no,no
mbc270-not-stripped.txt,19,fakakorea,fakakore,a,no,no
mbc270-not-stripped.txt,18,taNohia,taNo,hia,no,no
mbc270-not-stripped.txt,17,mauria,mau,ria,no,no
mbc270-not-stripped.txt,19,heria,heri,a,no,no
mbc270-not-stripped.txt,21,tukua,tuku,a,no,no
mbc270-not-stripped.txt,21,tukuna,tuku,na,no,no
mbc270-not-stripped.txt,20,tahia,tahi,a,no,no
mbc270-not-stripped.txt,19,kitea,kite,a,no,no
mbc270-not-stripped.txt,16,mauria,mau,ria,no,no
mbc270-not-stripped.txt,20,kumea,kume,a,no,no
mbc153-not-stripped.txt,6,mahiNia,mahi,Nia,no,no
mbc270-not-stripped.txt,20,pAkia,pA,kia,no,no
mbc224-not-stripped.txt,41,taea,tae,a,no,no
mbc270-not-stripped.txt,20,makaia,maka,ia,no,no
mbc270-not-stripped.txt,21,tapatapahia,tapatapahi,a,no,no
mbc270-not-stripped.txt,18,fakatereNia,fakatere,Nia,no,no
mbc270-not-stripped.txt,20,rapia,rapi,a,no,no
mbc270-not-stripped.txt,21,taNohia,taNo,hia,no,no
mbc270-not-stripped.txt,16,taea,tae,a,no,no
mbc270-not-stripped.txt,21,taNohia,taNo,hia,no,no
mbc270-not-stripped.txt,21,kitea,kite,a,no,no
mbc270-not-stripped.txt,19,arahina,Arahi,na,no,no
mbc270-not-stripped.txt,19,mauria,mau,ria,no,no
mbc224-not-stripped.txt,43,fakawaimehamehahia,fakawaimehameha,hia,no,no
mbc224-not-stripped.txt,43,fakawaimehamehahia,fakawaimehameha,hia,no,no
mbc224-not-stripped.txt,43,kOrerohia,kOrero,hia,no,no
mbc270-not-stripped.txt,28,taea,tae,a,no,no
mbc270-not-stripped.txt,25,taea,tae,a,no,no
mbc270-not-stripped.txt,27,taea,tae,a,no,no
mbc270-not-stripped.txt,26,taea,tae,a,no,no
mbc265-not-stripped.txt,95,fakahaerehia,fakahaere,hia,no,no
mbc150-not-stripped.txt,12,huihuiNia,huihui,Nia,no,no
mbc150-not-stripped.txt,26,waihotia,waiho,tia,no,no
mbc150-not-stripped.txt,9,mauria,mau,ria,no,no
mbc150-not-stripped.txt,9,taNihia,taNi,hia,no,no
mbc073-not-stripped.txt,23,taea,tae,a,no,no
mbc227-not-stripped.txt,46,mOhiotia,mOhio,tia,no,no
mbc227-not-stripped.txt,46,kOrerotia,kOrero,tia,no,no
