None,1,huihui,tarikete,Hainamana
None,2,āwhina,tēnei,kaupapa
None,3,whakahoki,tuhi,whakaaro
None,4,kī,kāpata,kai
None,5,mutu,kura,whare
None,6,piro,uri,Puhi
None,7,pai,tātou,ētahi
None,8,whai,koutou,tēnei
None,9,pānui,koe,pepa
None,10,whakarongo,koe,*
None,11,puta,ia,hōhipera
None,12,tautoko,au,tēnā
None,13,kite,au,ētahi
None,14,puta,pūrongo,Tari
None,15,pēnei,tirohanga,hainatangahia
None,16,hoki,au,haurua
None,17,rāhuihui,mōrehu,rōpū
None,18,tīmata,mahi,marama
None,19,rāhui,tarikete,rohe
None,20,tākaro,tātou,tīma
None,21,tākaro,tīma,rātou
None,22,toa,koe,tōu
None,23,whakakotahi,rātou,mea
None,24,rāhuihui,rōpū,rohe
None,25,puta,mātou,kura
None,26,rongohia,tēnei,tēnei
None,27,tutū,puehu,tērā
None,28,whai,rātou,wāhanga
None,29,rāhuihui,pū,matawaka
None,30,whakahouhia,Kāwana,tau
None,31,whaiwhai,ia,tēnei
None,32,whiwhia,tauira,tēnei
None,33,pupuhi,hau,hauāuru
None,34,āheitia,pūtea,pūkoro
None,35,haere,tautohetohe,kāinga
None,36,taea,pare,momo
None,37,whakanuia,tātou,motu
None,38,riro,mea,tētahi
None,39,tū,tētahi,marae
None,40,tangohia,rātou,Whare
None,41,katia,kura,tākaro
None,42,āhei,whakahau,kirimana
None,43,noho,Rūnanga,Tiriti
None,44,whakatūria,huihuinga,*
None,45,tatū,Rūnanga,Tiriti
None,46,takahia,tēnā,mana
None,47,mau,tangata,mātou
None,48,tīmata,hokinga,whakapuaretanga
None,49,nui,mātou,hokinga
None,50,pēhea,pūtea,reo
None,51,poroa,pūtea,reo
None,52,taea,horoia,*
None,53,tere,Rōpū,Tiriti
None,54,haina,rātou,tēnā
None,55,pēhea,tohatoha,rawa
None,56,riro,waihanga,tauiwi
None,57,whai,mātou,tētahi
None,58,maha,rēhita,kura
None,59,mau,ēnei,Rakuraku
None,60,heke,ia,taumata
None,61,puta,rātou,waru
None,62,titiro,au,tēnei
None,63,peti,au,rua
None,64,tae,kōrero,tīkapa
None,65,hainatia,kawenata,kaiāwhina
None,66,whai,mātou,Kāwanatanga
None,67,tautoko,au,ia
None,68,kite,au,ia
None,69,taea,hiki,mana
None,70,whiwhi,rātou,pōti
None,71,whiwhi,rātou,pōti
None,72,pōuri,au,*
None,73,whakatū,mātou,tēnei
None,74,taea,mahi,moni
None,75,tīmatahia,tēnei,Whanga-nui-ā-Tara
None,76,whai,koroua,tāna
None,77,mau,ēnei,*
None,78,huri,mātou,iwi
None,79,pēhea,Rūnanga,Tiriti
None,80,mōhio,tātou,tēnei
None,81,riro,kuratini,tēnei
None,82,mau,tēnei,*
None,83,pahū,tēnei,Kuratini
None,84,taea,whakaiti,kai
None,85,kite,tāua,tīma
None,86,kitea,ōna,tōna
None,87,taea,utu,nama
None,88,pupū,mahi,wāhine
None,89,riro,rātou,tētahi
None,90,hinga,tono,mea
None,91,tīmata,mātou,ērā
None,92,pēnekitia,whakaaro,putanga
None,93,whakawhanaunga,tāua,tāua
None,94,tīmatangia,rātou,tēnei
None,95,kī,whenua,whare
None,96,tīmata,tikanga,[Cliff]
None,97,taea,pupuri,tēnei
None,98,hoki,whare,hararei
None,99,kotahi,whakataha,ia
None,100,eketia,rātou,taumata
None,101,hono,tangata,taonga
None,102,whai,rātou,tētahi
None,103,taea,whakahoki,reo
None,104,hinga,ia,kairākau
None,105,tohatoha,rātou,ētahi
None,106,whakakotahi,tātou,tātou
None,107,pānui,mātou,tēnei
None,108,kite,au,*
None,109,kohi,au,ētahi
None,110,whiwhi,rātou,whā
None,111,mau,tēnei,*
None,112,tutuki,ēnei,whakataetae
None,113,pēhea,kura,Kura
None,114,rongo,koe,Tiriti
None,115,whakahē,Māori,tērā
None,116,mau,ēnei,Hirini
None,117,taea,ērā,kaumātua
None,118,rongo,ao,whakataurekarekatanga
None,119,puta,tērā,Hepi
None,120,kite,koe,*
None,121,mahara,au,kai
None,122,kite,ia,tētahi
None,123,mōhio,koe,tēnā
None,124,whai,koe,tēnei
None,125,hoko,au,kitā
None,126,rongo,koe,waiata
None,127,whai,rātou,kakara
None,128,taea,whakauru,ērā
None,129,huri,tāna,wā
None,130,waiho,mātou,tērā
None,131,kite,motu,āwangawanga
None,132,mea,au,au
None,133,kite,koe,whakaahua
None,134,kite,koe,kōrero
None,135,whakaako,wētahi,mea
None,136,tū,ia,tēnei
None,137,haere,tātou,tēnā
None,138,karakia,koroua,tīmatanga
None,139,tapahi,Pirimia,rīpene
None,140,whakahokingia,whare,ia
None,141,pāngia,hunga,mate
None,142,hari,iwi,whakahokitanga
None,143,katia,hau,aha
None,144,tahu,koe,pāua
None,145,whakamaroke,koe,ika
None,146,kai,koe,kai
None,147,miri,koe,wāhi
