count,item,construction
156,nāna,na-TA-A
130,rātou,ma-TA-A
104,māku,ma-TA-A
94,rātou,na-TA-A
76,māna,ma-TA-A
47,tātou,ma-TA-A
40,mātou,ma-TA-A
35,māu,ma-TA-A
32,wai,ma-TA-A
32,nāku,na-TA-A
30,mea,na-TA-A
25,koutou,na-TA-A
24,nāu,na-TA-A
24,mātou,na-TA-A
22,wai,na-TA-A
22,none,na-TA-A
22,koutou,ma-TA-A
18,tātou,na-TA-A
18,tātou,ma-det-TA-A
15,rātou,ma-det-TA-A
15,iwi,ma-TA-A
13,māori,ma-TA-A
13,māna,ma-det-TA-A
12,rātou,na-det-TA-A
12,nāna,na-det-TA-A
12,kāwana,na-TA-A
11,tēnā,ma-TA-A
10,wā,ma-TA-A
10,tāua,ma-TA-A
9,tēnei,ma-TA-A
9,rāua,na-TA-A
9,mātou,ma-det-TA-A
9,iwi,ma-det-TA-A
9,atua,ma-det-TA-A
8,wai,ma-det-TA-A
8,kāwanatanga,ma-TA-A
7,tangata,ma-TA-A
7,kāwana,ma-TA-A
7,atua,na-TA-A
6,wā,ma-det-TA-A
6,wai,na-det-TA-A
6,māori,ma-det-TA-A
6,kōti,ma-TA-A
6,kāwanatanga,na-TA-A
5,whānau,ma-TA-A
5,tēnei,na-TA-A
5,pākehā,ma-TA-A
5,māku,ma-det-TA-A
5,mea,ma-TA-A
4,,na-TA-A
4,tauiwi,ma-TA-A
4,rangatahi,ma-TA-A
4,pākehā,na-TA-A
4,poari,na-TA-A
4,nāku,na-det-TA-A
4,māu,ma-det-TA-A
4,kōti,na-TA-A
4,koutou,ma-det-TA-A
4,iwi,na-TA-A
4,hunga,ma-TA-A
3,ēnei,ma-TA-A
3,,ma-TA-A
3,whānau,na-TA-A
3,waha,ma-TA-A
3,tērā,na-TA-A
3,tērā,ma-TA-A
3,tāua,ma-det-TA-A
3,ture,ma-TA-A
3,tauiwi,ma-det-TA-A
3,taua,ma-TA-A
3,rā,na-TA-A
3,reo,ma-TA-A
3,poari,ma-TA-A
3,nāu,na-det-TA-A
3,māua,na-TA-A
3,mātua,ma-TA-A
3,māori,na-TA-A
3,minita,na-TA-A
3,mea,na-det-TA-A
3,mate,na-det-TA-A
3,kōrua,ma-TA-A
3,kāwanatanga,ma-det-TA-A
3,kuini,ma-TA-A
3,hāhi,na-TA-A
3,aurere,ma-TA-A
3,aha,na-TA-A
2,wā,na-TA-A
2,wāhi,ma-det-TA-A
2,wira,ma-TA-A
2,whakapono,na-TA-A
2,whaea,na-det-TA-A
2,wairua,ma-TA-A
2,tēnei,ma-det-TA-A
