count,item,construction
21,tātou,ma-det-TA-S
18,koutou,ma-det-TA-S
16,rātou,ma-det-TA-S
14,koe,ma-det-TA-S
11,ia,ma-det-TA-S
9,tērā,ma-det-TA-S
9,ia,na-det-TA-S
8,koe,na-det-TA-S
7,tēnā,ma-det-TA-S
7,tēnei,na-det-TA-S
6,tērā,na-det-TA-S
6,tēnei,ma-det-TA-S
6,mātou,na-det-TA-S
6,au,na-det-TA-S
5,tātou,na-det-TA-S
5,māori,ma-det-TA-S
4,ērā,na-det-TA-S
3,ēnei,ma-det-TA-S
3,rātou,na-det-TA-S
2,,na-det-TA-S
2,whare,na-det-TA-S
2,māua,na-det-TA-S
2,mātou,ma-det-TA-S
2,mahi,ma-det-TA-S
2,kupu,ma-det-TA-S
1,ōku,ma-det-TA-S
1,ēnā,ma-det-TA-S
1,ēnei,na-det-TA-S
1,āna,ma-det-TA-S
1,wērā,na-det-TA-S
1,wēnei,na-det-TA-S
1,wēnei,ma-det-TA-S
1,wānanga,na-det-TA-S
1,wairua,na-det-TA-S
1,utu,ma-det-TA-S
1,tōna,ma-det-TA-S
1,tōku,na-det-TA-S
1,tētahi,ma-det-TA-S
1,tāua,ma-det-TA-S
1,tika,ma-det-TA-S
1,tikanga,ma-det-TA-S
1,tangata,na-det-TA-S
1,taku,ma-det-TA-S
1,tainui,na-det-TA-S
1,rino,ma-det-TA-S
1,rangatahi,na-det-TA-S
1,poaka,ma-det-TA-S
1,paora,na-det-TA-S
1,motu,na-det-TA-S
1,moni,ma-det-TA-S
1,mea,ma-det-TA-S
1,manu,ma-det-TA-S
1,manuhiri,na-det-TA-S
1,mahi,na-det-TA-S
1,kōrero,na-det-TA-S
1,kōhanga,ma-det-TA-S
1,kāwanatanga,na-det-TA-S
1,kāwanatanga,ma-det-TA-S
1,koutou,na-det-TA-S
1,kaupapa,na-det-TA-S
1,kaumātua,na-det-TA-S
1,karakia,ma-det-TA-S
1,kahu,ma-det-TA-S
1,hui,na-det-TA-S
1,awa,na-det-TA-S
1,au,ma-det-TA-S
1,arawa,na-det-TA-S
