count,item,construction
51,none,ma-TA-V
50,none,na-TA-V
41,kōrero,ma-TA-V
31,whakahaere,ma-TA-V
27,tangi,na-TA-V
27,mahi,ma-TA-V
20,hanga,na-TA-V
19,whiriwhiri,ma-TA-V
19,titiro,ma-TA-V
18,tīmata,na-TA-V
18,kī,ma-TA-V
16,manaaki,ma-det-TA-V
16,kawe,ma-TA-V
13,whakatau,ma-TA-V
13,tuku,na-TA-V
12,kī,na-TA-V
11,whakatakoto,ma-TA-V
11,tuku,ma-TA-V
11,tiaki,ma-TA-V
11,kōrero,ma-det-TA-V
11,hāpai,ma-TA-V
10,āwhina,ma-TA-V
10,utu,ma-TA-V
10,tautoko,ma-TA-V
9,whakatikatika,ma-TA-V
9,whakatakoto,na-TA-V
9,whakahaere,ma-det-TA-V
9,whakaatu,ma-TA-V
9,rapu,ma-TA-V
9,mahi,na-TA-V
9,kōrero,na-TA-V
9,hari,ma-TA-V
8,whakarite,ma-TA-V
8,whakamārama,ma-TA-V
8,whakahaere,na-TA-V
8,tono,na-TA-V
8,mau,na-TA-V
8,manaaki,ma-TA-V
8,haere,ma-TA-V
7,whāngai,ma-TA-V
7,whakawā,ma-TA-V
7,whakatika,ma-TA-V
7,whai,na-TA-V
7,tango,na-TA-V
7,hoko,ma-TA-V
6,āwhina,ma-det-TA-V
6,āta,ma-TA-V
6,ārahi,ma-TA-V
6,whāngai,na-det-TA-V
6,whakatō,na-TA-V
6,whakatuwhera,ma-TA-V
6,whakatau,na-TA-V
6,whakarite,ma-det-TA-V
6,whakaoti,ma-TA-V
6,tirotiro,ma-TA-V
6,noho,ma-TA-V
6,mau,ma-TA-V
6,kōhuru,na-TA-V
6,homai,na-TA-V
6,hoatu,ma-TA-V
6,hiki,ma-TA-V
5,āwhina,na-TA-V
5,āta,na-TA-V
5,whāngai,na-TA-V
5,whaka-,ma-TA-V
5,whakawātea,ma-TA-V
5,whakatū,na-TA-V
5,whakatuwhera,na-TA-V
5,whakaputa,ma-TA-V
5,whakamana,ma-TA-V
5,whakairo,na-TA-V
5,whakahoki,ma-TA-V
5,whakaae,na-TA-V
5,tū,ma-TA-V
5,tuhi,na-TA-V
5,tono,ma-TA-V
5,takahi,na-TA-V
5,none,ma-det-TA-V
5,muru,na-TA-V
5,kite,na-TA-V
5,kimi,ma-TA-V
5,homai,ma-TA-V
5,hoko,na-TA-V
5,hanga,ma-TA-V
5,ako,na-det-TA-V
5,ako,na-TA-V
4,whakarangatira,na-TA-V
4,whakaputa,na-TA-V
4,whakahau,na-TA-V
4,whakaaro,na-TA-V
4,waiata,ma-TA-V
4,tohu,ma-TA-V
4,tohutohu,ma-det-TA-V
4,tohutohu,ma-TA-V
4,titiro,ma-det-TA-V
4,tinihanga,na-TA-V
4,tiaki,na-TA-V
4,tautoko,ma-det-TA-V
4,pōhiri,na-TA-V
4,pā,ma-TA-V
4,poipoi,na-TA-V
4,none,na-det-TA-V
4,mea,ma-TA-V
4,konā,na-TA-V
4,kawe,na-TA-V
4,karanga,ma-TA-V
4,kai,ma-TA-V
