ID,Speaker,Label,Sequence_x,Successor,Fragment
mbc190.5.17,Haare Williams,APV,"['nā.tō na matua', 'a rau-huia', 'i whāngai']",nā,He minita/ā iwi/nā tōna matua kēkē/a Rau-huia/i whāngai/nā Pareārau
mbc161.63.7,Te Ao Pēhi Kara,APV,"['mā.ngā māori', 'o aotearoa', 'e hiki', 'ngā tapu', 'o roto']",i,mā tātou/mā ngā Māori/o Aotearoa/e hiki/ngā tapu/o roto/i tērā kokoru.
mbc169.28.1.1995-11-16,Glass Murray,APV,"['mā ku', '* tēnā pātai', 'e whakautu']",e,Kore/au/e tino pai/māku/tēnā pātai/e whakautu/e
mbc178.361.3,Iris Whaanga,APV,"['mā u', '* wēnei', 'e whakawāwā']",i,Inā/māu/wēnei/e whakawāwā/i
mbc029.88.1.1995-07-24,Rere-ata Makiha,AVP,"['nā rātou', 'i hāmene', 'te tangata', 'i kiki', 'i.te mātenga']",a,ehara/nā rātou/i hāmenetia/te tangata/i kiki/i te mātenga/a [Josh Cromfeld]/i te kēmu whutupaoro/i te Rāhoroi nei.
mbc054.150.1.1995-07-28,Wiparera Te Kani,AVP,"['nā rātou', 'i tono', '* tētehi māori', 'kia haere']",ki,ko te mea/nā rātou/i tono atu/tētehi Māori/kia haere mai/ki/te
mbc060.124.0.1995-09-15,Dan Hiramana-rua,AVP,"['nā tēnei rangatira', 'i rangahau', 'hei whakapiri', 'ki.ngā ringaringa']",ā,Tūturu/he kaupapa/nā tēnei rangatira/i rangahau/hei whakapiri/ki ngā ringaringa/ā/ō tātou tamariki.
mbc265.70.1,Julian Wilcox,AVP,"['nā ku', 'i whakakopi', 'te waiata']",i,i te mea/nāku/i whakakopi/te waiata nei/i
mbc039.71.2.1995-11-22,Numia Ponika Rangi,AVP,"['nā john', 'i kōhuru', 'te tokorua']",a,arā tūturu/nā [John Barlow]/i kōhuru/te tokorua/a [Eugene]/me [Gene Thomas].
mbc031.36.0.1995-11-14,Numia Ponika Rangi,AV,"['nā rātou', 'i whakatutū', 'i.te puehu', 'i.te haerenga', 'o.te tīma']",o.ngā,I tērā pō/i tūtaki/a [Nelson Mandela]/ki ngā hunga tautohe/nā rātou nei/i whakatutū/i te puehu/i te haerenga mai/o te tīma whutupaoro/o ngā [Springboks]/ki Aotearoa/i te tau waru tekau/mā tahi.
mbc156.67.29,Bob Rarere,AV,"['nā na', 'i arataki', 'i.te waka']",a,e mōhio ana/tātou anō/koira/te mea/nāna/i arataki mai/i te waka tapu nei/a
mbc157.133.4,Ngaheno Minhinick,AV,"['nā rātou', 'i tohe']",ki,nā runga/i tā rātou kaha/nā rātou/i tohe/ki/te
mbc063.36.4.1995-10-11,Ngawai Brown,AV,"['nā rātou', 'i tango']",i,he kore/nō rātou/e whakaaro mai/ki a mātou/ki te Māori/mō ō mātou whenua/nā rātou/i tango/i/a
mbc147.29.26,Te Whare-kaihua Coates,AV,"['nā na', 'i moemoe']",ā,Te tangata/nāna/i moemoe/ā
mbc041.100.1.1995-04-10,Dan Hiramana-rua,AV,"['nā rātou', 'i mahi']",*,kāre noa/kia mau/ngā nanakia/nā rātou nei/i mahi/ēnei mahi mōrikarika
mbc142.120.14,Tepora Nepe,AV,"['nā na', 'i tuku']",ngā,ko te tangata/nāna/i tuku/ngā
mbc229.113.4.1996-06-30,Rehua o te Rangi Kereama,AV,"['nā na', 'i whakairo']",ngā,ko ia anō hoki/tētahi/nāna/i whakairo/ngā
mbc183.26.58,Rewa Marsh,AV,"['nā na', 'i tango']",o,I roto/o te ringa/o te mea/nāna neki/i tango/o/te
