NextMarker,mā-e,mā-hei,nā-i
i,2.0,3.0,530.0
e,414.0,6.0,3.0
*,91.0,15.0,64.0
hei,,137.0,
te,13.0,7.0,18.0
o,7.0,5.0,15.0
o.te,7.0,,13.0
o.ngā,3.0,3.0,9.0
ngā,3.0,4.0,4.0
a,1.0,1.0,8.0
a.te,2.0,2.0,4.0
me.te,3.0,3.0,1.0
ō,2.0,,3.0
i.te,2.0,2.0,1.0
ka,1.0,2.0,2.0
o.tō,,,4.0
nā,1.0,,3.0
mā.te,3.0,,
ā,2.0,1.0,
kei,2.0,1.0,
mā,2.0,,
aua,2.0,,
i.ngā,,1.0,1.0
mō.te,,1.0,1.0
me,1.0,1.0,
me.ngā,1.0,1.0,
ko.ngā,,,2.0
mā.ngā,1.0,,
ki.a,1.0,,
me.tana,,1.0,
me.aku,,,1.0
i.taua,,,1.0
kua,1.0,,
e.te,,,1.0
ko.ā,1.0,,
taua,,,1.0
tō,,,1.0
kia,,1.0,
ki,,,1.0
