PostSubMarker,mā-e,mā-hei,nā-i
te,43.0,11.0,95.0
*,39.0,4.0,61.0
ngā,40.0,13.0,40.0
i,20.0,12.0,26.0
i.te,14.0,13.0,27.0
ki.a,20.0,4.0,21.0
ki,11.0,3.0,23.0
ki.te,8.0,7.0,22.0
he,18.0,5.0,9.0
i.ngā,12.0,14.0,5.0
kia,7.0,1.0,13.0
a,2.0,1.0,10.0
tō,4.0,1.0,7.0
me,6.0,,6.0
i.a,,3.0,8.0
ko,5.0,1.0,5.0
ā,6.0,4.0,1.0
e,8.0,,2.0
tana,,1.0,8.0
tā,7.0,1.0,1.0
ō,3.0,,6.0
hei,1.0,2.0,6.0
ki.ngā,4.0,,3.0
mō.te,1.0,2.0,3.0
taua,1.0,,5.0
i.ō,4.0,,
i.ā,2.0,2.0,
mō.ngā,2.0,2.0,
ka,1.0,1.0,2.0
nā,2.0,,1.0
mā,1.0,2.0,
o.ngā,,,3.0
mō.ā,2.0,,
mō,,1.0,1.0
o,,1.0,1.0
mō.ō,2.0,,
aua,1.0,,1.0
ki.tō,2.0,,
i.tā,,1.0,1.0
ki.taua,,1.0,1.0
ki.taku,,,2.0
a.te,,,2.0
i.tō,,2.0,
e.ō,,,1.0
ana,,,1.0
nō.ngā,,,1.0
wā,1.0,,
wō,,,1.0
e.te,,,1.0
mā.te,,,1.0
mō.taua,,1.0,
me.kei.te,1.0,,
hei.te,1.0,,
kua,,,1.0
ko.te,,,1.0
i.aua,,1.0,
i.tana,,,1.0
ki.ō,,1.0,
ki.ā,1.0,,
i.taua,,,1.0
ki.tana,1.0,,
ki.ana,1.0,,
ki.tā,,,1.0
