ID,Speaker,Length,Number,Sequence,Fragment
mbc092.25.28,Haami Piripi,3.0,0.0,"['nā.ō tāua tūpuna', 'i mau', 'nō.ngā motu']",nā ō tāua tūpuna/i mau mai/nō ngā motu
mbc201.40.3,Whakahuihui Vercoe,3.0,0.0,"['nā.te kāwanatanga', 'o.tō tāua tāua', 'i raupatu']",Nā te kāwanatanga/o tō tāua whenua anō tāua/i raupatu
mbc201.76.38,Waka Vercoe,4.0,0.0,"['nā.te atua', 'i homai', 'ki.a tāua', 'ki.te tangata']",Nā te atua/i homai/ki a tāua/ki te tangata
mbc201.76.9,Waka Vercoe,6.0,0.0,"['nā.te atua', 'i heke', 'i.te rangi', 'kia noho', 'i waenganui', 'i.a tāua']",Nā te atua/i heke mai/i te rangi/kia noho/i waenganui/i a tāua
mbc146.4.5,Maata Edwards,2.0,1.0,"['mā.te wairua', 'e whakahau']",Waiho tāua/mā te wairua/e whakahau/tētahi mahi
mbc156.46.165,Apikara Rarere,2.0,0.0,"['mā ku', 'e tia']",māku/e tia/tō tāua waka
mbc020.14.45.1995-10-06,Haare Williams,2.0,0.0,"['mā tāua', 'e tirotiro']",mā tāua/e tirotiro
mbc066.66.2.1995-11-06,Haki Wihongi,3.0,0.0,"['mā rātou', 'e mahi', 'i.ngā mahi']",mā rātou kē/e mahi/i ngā mahi/kua whiwhi tāua/i ngā hua/i
mbc059.167.3.1995-09-08,Hine-rangi Goodman,2.0,0.0,"['mā tāua', 'hei whakahaere']",mā tāua anō/hei whakahaere.
mbc121.104.50,Tame Iti,2.0,0.0,"['mā.te karauna', 'hei tohutohu']",mā te karauna tāua/hei tohutohu.
mbc057.23.0.1995-08-22,Tini Molyneux,2.0,0.0,"['mā tāua', 'hei āta']",Mā tāua anō/hei āta titiro
