SubHead,ka,AE,Key,Diff,DiffAbs,Count
aha,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,16.0
ahi,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
ahiahi,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,11.0
aho,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
ahu,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,16.0
ahurei,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
aituā,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
ako,-0.0024027179739593537,0.008021811981025417,0.005619094007066064,-0.01042452995498477,0.01042452995498477,51.0
amo,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
amokapua,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
ana,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
anahera,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
anga,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,10.0
ao,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,16.0
ara,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,14.0
arataki,-0.0009460443069227956,0.006317004024695036,0.005370959717772241,-0.0072630483316178315,0.0072630483316178315,14.0
ariki,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
aro,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,18.0
aroaro,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,12.0
aroha,0.004127147826346195,-0.000787375065349507,0.003339772760996688,0.004914522891695702,0.004914522891695702,28.0
aronui,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
ata,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,11.0
atamira,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
atatū,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
atawhai,-0.0006672123248921915,0.0025458082434574683,0.0018785959185652766,-0.00321302056834966,0.00321302056834966,12.0
aukati,-0.0005238729763860724,0.0014991631135078624,0.00097529013712179,-0.002023036089893935,0.002023036089893935,10.0
awa,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,12.0
awaawa,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
awe,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,12.0
awhi,-0.001334424649784383,0.0050916164869149365,0.0037571918371305532,-0.00642604113669932,0.00642604113669932,23.0
ceo,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
children's,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
community,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
congress,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
ea,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,14.0
eke,0.0014755284616267215,-0.0007037513361418324,0.000771777125484889,0.002179279797768554,0.002179279797768554,38.0
ekenga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
haere,0.0442335833257459,-0.006420871343852333,0.03781271198189357,0.05065445466959823,0.05065445466959823,210.0
haeremaitanga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
haerenga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,11.0
hahae,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hahau,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,10.0
hahu,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,8.0
haina,-0.0006436950229184683,0.001228037938210424,0.0005843429152919557,-0.0018717329611288923,0.0018717329611288923,14.0
hainamana,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
haki,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
hanga,-0.003073579024416547,0.010554763862744504,0.0074811848383279575,-0.013628342887161051,0.013628342887161051,36.0
hangatanga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hao,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,9.0
hapū,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hara,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
harakoa,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
haramai,0.008570963146075654,-0.002043954733148032,0.006527008412927622,0.010614917879223687,0.010614917879223687,38.0
hari,-0.0022550189761442628,0.006990933948025186,0.004735914971880923,-0.009245952924169448,0.009245952924169448,37.0
harikoa,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,16.0
haritanga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
harry,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,9.0
hau,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
hauhau,4.7034603947446243e-05,-4.4866183518310175e-05,2.168420429136069e-06,9.190078746575642e-05,9.190078746575642e-05,10.0
haumi,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
haunga,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,11.0
hauora,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
haurua,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hautū,-0.0007783949613217929,0.0037125444091559837,0.002934149447834191,-0.004490939370477776,0.004490939370477776,12.0
heamana,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hei,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
heke,7.055190592116942e-05,-6.729927527746531e-05,3.252630643704103e-06,0.00013785118119863474,0.00013785118119863474,27.0
hemo,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
here,4.7034603947446243e-05,-4.4866183518310175e-05,2.168420429136069e-06,9.190078746575642e-05,9.190078746575642e-05,14.0
heri,4.7034603947446243e-05,-4.4866183518310175e-05,2.168420429136069e-06,9.190078746575642e-05,9.190078746575642e-05,15.0
hia,0.0028569877153585507,-0.0006813182443826773,0.0021756694709758736,0.0035383059597412277,0.0035383059597412277,15.0
hiahia,4.7034603947446243e-05,-4.4866183518310175e-05,2.168420429136069e-06,9.190078746575642e-05,9.190078746575642e-05,63.0
hiakai,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hihiko,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
hika,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,9.0
hiki,-0.0012873900458369367,0.002456075876420848,0.0011686858305839114,-0.0037434659222577845,0.0037434659222577845,21.0
hiko,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hikuwai,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
himalayas,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,8.0
hinengaro,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hinga,0.006951552376091695,-0.0009472953299033155,0.006004257046188379,0.00789884770599501,0.00789884770599501,20.0
hingahinga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hipa,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
hira,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hiwi,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,10.0
hoatu,-0.0012873900458369367,0.002456075876420848,0.0011686858305839114,-0.0037434659222577845,0.0037434659222577845,21.0
hoatuhanga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hoe,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,11.0
hohou,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,9.0
hoki,0.044959249782577676,-0.002680406794012399,0.042278842988565275,0.04763965657659008,0.04763965657659008,108.0
hokinga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hokitanga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hoko,-0.0013955605798960597,0.0035499240606481517,0.002154363480752092,-0.004945484640544211,0.004945484640544211,29.0
hokohoko,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,9.0
homai,-0.0010477459527721447,0.0029983262270157247,0.00195058027424358,-0.00404607217978787,0.00404607217978787,17.0
hono,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,13.0
hopu,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,12.0
hoputanga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hora,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,16.0
hore,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,10.0
horo,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
horoi,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,11.0
hou,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,10.0
hua,4.7034603947446243e-05,-4.4866183518310175e-05,2.168420429136069e-06,9.190078746575642e-05,9.190078746575642e-05,20.0
huaki,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
huarahi,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,16.0
hui,0.004127147826346195,-0.000787375065349507,0.003339772760996688,0.004914522891695702,0.004914522891695702,33.0
huihui,0.004127147826346195,-0.000787375065349507,0.003339772760996688,0.004914522891695702,0.004914522891695702,18.0
huihuinga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
huinga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
huna,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
hunga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,13.0
hunuhunu,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hura,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,9.0
huratanga,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
huri,0.01695378787636152,-0.0020215216413888766,0.014932266234972643,0.018975309517750397,0.018975309517750397,52.0
huri-nui,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
huritau,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
huruhuru,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,10.0
huti,-0.0003218475114592342,0.000614018969105212,0.00029217145764597784,-0.0009358664805644461,0.0009358664805644461,10.0
hā,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hāhi,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hākari,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,11.0
hākinakina,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,9.0
hāmene,-0.0005238729763860724,0.0014991631135078624,0.00097529013712179,-0.002023036089893935,0.002023036089893935,11.0
hāngai,2.3517301973723122e-05,-2.2433091759155087e-05,1.0842102145680344e-06,4.595039373287821e-05,4.595039373287821e-05,15.0
hāpai,-0.00125448437090198,0.015556440932130974,0.014301956561228995,-0.016810925303032954,0.016810925303032954,24.0
hāparangi,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,9.0
hē,0.0007377642308133607,-0.0003518756680709162,0.0003858885627424445,0.001089639898884277,0.001089639898884277,21.0
