SubHead,kua,AE,Key,Diff,DiffAbs,Count
aha,0.0016804352250014032,-0.000537190472303793,0.0011432447526976103,0.002217625697305196,0.002217625697305196,18.0
ahi,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
ahiahi,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
ahu,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,17.0
ahurei,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
aituā,-0.00031989395703688737,0.0006135695680895927,0.00029367561105270537,-0.0009334635251264801,0.0009334635251264801,10.0
akiaki,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,8.0
ako,-0.001797602252326865,0.011205590300185461,0.009407988047858596,-0.013003192552512326,0.013003192552512326,43.0
amo,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
anga,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,9.0
anini,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,9.0
ao,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,14.0
aorangi,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
aotearoa,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
ara,0.0016804352250014032,-0.000537190472303793,0.0011432447526976103,0.002217625697305196,0.002217625697305196,17.0
araara,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
arataki,-0.0009351999337045533,0.006278129748072207,0.005342929814367654,-0.00721332968177676,0.00721332968177676,15.0
ariki,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
aro,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,21.0
aroaro,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,14.0
aroaro-whaki,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
aroha,0.0016804352250014032,-0.000537190472303793,0.0011432447526976103,0.002217625697305196,0.002217625697305196,29.0
aronui,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,8.0
aru,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
ata,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,13.0
atamira,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
atawhai,-0.0007699385208257651,0.0036919331804080493,0.0029219946595822844,-0.004461871701233814,0.004461871701233814,15.0
atua,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
aukati,-0.0005190418490350034,0.0014933149382504952,0.0009742730892154919,-0.002012356787285499,0.002012356787285499,12.0
auē,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
awa,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,13.0
awatea,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,9.0
awe,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
awhi,-0.0009351999337045533,0.006278129748072207,0.005342929814367654,-0.00721332968177676,0.00721332968177676,16.0
big,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
ea,0.0016804352250014032,-0.000537190472303793,0.0011432447526976103,0.002217625697305196,0.002217625697305196,14.0
eke,0.01221875657767566,-0.0018027746216998908,0.010415981955975769,0.014021531199375551,0.014021531199375551,36.0
ekenga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,11.0
haehae,-0.00031989395703688737,0.0006135695680895927,0.00029367561105270537,-0.0009334635251264801,0.0009334635251264801,9.0
haere,0.011147313008572367,-0.003375947039014305,0.007771365969558063,0.014523260047586672,0.014523260047586672,204.0
haeremaitanga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,8.0
haerenga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,13.0
haeretanga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
hahautanga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
haika,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
haina,0.0006590985149425449,-0.00042139255029769867,0.0002377059646448462,0.0010804910652402436,0.0010804910652402436,12.0
hainamana,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hainatanga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,11.0
haka,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,11.0
haki,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hanga,-0.0013990808810723583,0.02415144424377758,0.02275236336270522,-0.025550525124849937,0.025550525124849937,38.0
hangahanga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hao,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,11.0
hapū,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,11.0
harakoa,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
haramai,0.0006473971640169421,-0.0004656502446791666,0.00018174691933777555,0.0011130474086961087,0.0011130474086961087,34.0
haramaitanga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hari,-0.0011103840908453845,0.010648808332365535,0.009538424241520151,-0.01175919242321092,0.01175919242321092,30.0
harihari,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
harikoa,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,20.0
haritanga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
haruru,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hau,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,11.0
hauhake,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
haunga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
hauora,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,8.0
hautū,-0.0007699385208257651,0.0036919331804080493,0.0029219946595822844,-0.004461871701233814,0.004461871701233814,12.0
heamana,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
heke,6.16548389481965e-05,-5.912823933044188e-05,2.526599617754628e-06,0.00012078307827863839,0.00012078307827863839,20.0
hekenga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hemo,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,9.0
here,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,12.0
herehere,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
heri,-0.00031989395703688737,0.0006135695680895927,0.00029367561105270537,-0.0009334635251264801,0.0009334635251264801,11.0
hia,0.0028057710120878844,-0.0006726978074200345,0.00213307320466785,0.0034784688195079187,0.0034784688195079187,17.0
hiahia,6.16548389481965e-05,-5.912823933044188e-05,2.526599617754628e-06,0.00012078307827863839,0.00012078307827863839,69.0
hiki,-0.0007143851160615358,0.0010276646935713288,0.000313279577509793,-0.0017420498096328645,0.0017420498096328645,17.0
hinengaro,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,10.0
hinga,0.005403543870120524,-0.0008636846694587366,0.004539859200661787,0.00626722853957926,0.00626722853957926,16.0
hingahinga,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,9.0
hipa,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,9.0
hira,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hiri,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,9.0
hoake,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hoatu,-0.000859487419054623,0.004945595059430652,0.0040861076403760285,-0.005805082478485275,0.005805082478485275,20.0
hoe,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hohou,-0.00031989395703688737,0.0006135695680895927,0.00029367561105270537,-0.0009334635251264801,0.0009334635251264801,9.0
hoki,0.021399588786909344,-0.0021602777980587263,0.01923931098885062,0.02355986658496807,0.02355986658496807,110.0
hokihoki,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hokinga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,12.0
hokitanga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hoko,-0.0010007850970761263,0.007678185426837469,0.006677400329761342,-0.008678970523913594,0.008678970523913594,29.0
homai,-0.0013835749051751723,0.003538336953288304,0.0021547620481131317,-0.004921911858463477,0.004921911858463477,23.0
hono,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,9.0
hopehope,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,9.0
hopu,4.1103225965464265e-05,-3.9418826220294513e-05,1.684399745169752e-06,8.052205218575878e-05,8.052205218575878e-05,12.0
hora,0.0016804352250014032,-0.000537190472303793,0.0011432447526976103,0.002217625697305196,0.002217625697305196,16.0
horatanga,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
hore,2.0551612982732133e-05,-1.9709413110147257e-05,8.42199872584876e-07,4.026102609287939e-05,4.026102609287939e-05,9.0
horoi,-0.0005190418490350034,0.0014933149382504952,0.0009742730892154919,-0.002012356787285499,0.002012356787285499,10.0
hou,0.0007219943660047033,-0.0003462036102650909,0.0003757907557396124,0.0010681979762697943,0.0010681979762697943,10.0
hua,-0.00031989395703688737,0.0006135695680895927,0.00029367561105270537,-0.0009334635251264801,0.0009334635251264801,17.0
