SubHead,kua,ka,Key,Diff,DiffAbs,Count
aha,0.001620949923731068,-0.0005395216682551013,0.0010814282554759667,0.002160471591986169,0.002160471591986169,18.0
ahi,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,10.0
ahiahi,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,10.0
ahu,-0.00039684942554432483,0.00059439830584226,0.0001975488802979352,-0.0009912477313865848,0.0009912477313865848,17.0
ahurei,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,9.0
aituā,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,10.0
akiaki,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,8.0
ako,-0.000898642769125848,0.002243301468783995,0.0013446586996581473,-0.003141944237909843,0.003141944237909843,43.0
amo,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,9.0
anga,0.0006823374984911462,-0.00034066678443550125,0.000341670714055645,0.0010230042829266475,0.0010230042829266475,9.0
anini,0.0006823374984911462,-0.00034066678443550125,0.000341670714055645,0.0010230042829266475,0.0010230042829266475,9.0
ao,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,14.0
aorangi,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,9.0
aotearoa,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,9.0
ara,0.0005996132136722095,-0.00039915399805022674,0.00020045921562198278,0.0009987672117224363,0.0009987672117224363,17.0
araara,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,9.0
arataki,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,15.0
ariki,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,9.0
aro,-0.0007897669545825435,0.003943024814933934,0.003153257860351391,-0.0047327917695164775,0.0047327917695164775,21.0
aroaro,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,14.0
aroaro-whaki,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,9.0
aroha,-0.0014430602064455077,0.0038424987154789,0.002399438509033392,-0.005285558921924408,0.005285558921924408,29.0
aronui,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,8.0
aru,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,10.0
ata,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,13.0
atamira,7.231792259536725e-07,-7.221152055133288e-07,1.0640204403437445e-09,1.4452944314670012e-06,1.4452944314670012e-06,10.0
