Head,mā,nā,Key,Diff,DiffAbs,Count
aha,-0.0010160766407511853,0.001457402858451195,0.0004413262177000096,-0.00247347949920238,0.00247347949920238,14.0
ahakoa,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
ahau,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
all,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
anahera,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
anō,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
apa-nui,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
apirana,-0.001579777509341775,0.008497288118429244,0.00691751060908747,-0.010077065627771019,0.010077065627771019,12.0
ara,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
arawa,-0.0011001290363220654,0.003550416435403029,0.0024502873990809634,-0.004650545471725095,0.004650545471725095,8.0
aroha,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
atu,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
atua,0.0023111818618627364,-0.0019125164591171828,0.0003986654027455536,0.004223698320979919,0.004223698320979919,46.0
aurere,0.00493246657692019,-0.0013265345718232332,0.003605932005096957,0.006259001148743424,0.006259001148743424,10.0
bill,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
briony,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
esther,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
gary,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
gee,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
gerry,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
hainamana,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
hau,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
heamana,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
hepi,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
hepora,0.0028889778976147044,-0.0010359466198517373,0.0018530312777629671,0.003924924517466442,0.003924924517466442,8.0
hiku-rangi,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
hoa,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
hoani,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
hoko,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
horo,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
hotu,-0.0007194106249528969,0.0015478228597471417,0.0008284122347942448,-0.0022672334847000384,0.0022672334847000384,6.0
huarahi,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
hui,-0.0011001290363220654,0.003550416435403029,0.0024502873990809634,-0.004650545471725095,0.004650545471725095,8.0
hunga,-0.0008985732265221676,0.001449970433706225,0.0005513972071840575,-0.0023485436602283926,0.0023485436602283926,10.0
hāhi,-0.0013702530480138783,0.005896240388423355,0.004525987340409476,-0.007266493436437233,0.007266493436437233,10.0
hākari,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
hīkoi,0.0011645484423381323,-0.000626385904590965,0.0005381625377471673,0.0017909343469290973,0.0017909343469290973,6.0
