Argument,mā,nā,Key,Diff,DiffAbs,Count
ahau,-0.002192688831865181,0.008980247891014722,0.0067875590591495415,-0.011172936722879903,0.011172936722879903,10.0
ako,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
aotearoa,0.008477074981962486,-0.0021698882218956525,0.0063071867600668335,0.01064696320385814,0.01064696320385814,10.0
ara,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
ata,-0.0017452828093896273,0.005360908502090113,0.0036156256927004854,-0.00710619131147974,0.00710619131147974,8.0
atu,0.005015588169045206,-0.0017117957498386767,0.0033037924192065296,0.006727383918883883,0.006727383918883883,8.0
au,-0.00631463388906447,0.014224014489602865,0.007909380600538396,-0.020538648378667333,0.020538648378667333,32.0
awa,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
awau,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
awhi,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
charlie,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
haki,-0.0017452828093896273,0.005360908502090113,0.0036156256927004854,-0.00710619131147974,0.00710619131147974,8.0
hanga,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
hara,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
hau,0.005015588169045206,-0.0017117957498386767,0.0033037924192065296,0.006727383918883883,0.006727383918883883,8.0
henare,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
hereni,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
hiahia,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
hine-nui-te-pō,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
hoki,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
hoko,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
huarahi,0.0014810295398867872,-0.0012636703743991561,0.00021735916548763106,0.0027446999142859436,0.0027446999142859436,22.0
hui,-0.001452348196988499,0.0019827173899439592,0.0005303691929554601,-0.0034350655869324585,0.0034350655869324585,14.0
hui-tanguru,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
hāhi,-0.002192688831865181,0.008980247891014722,0.0067875590591495415,-0.011172936722879903,0.011172936722879903,10.0
hāmene,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
ia,-0.0018923410300926212,0.0021136802820200733,0.00022133925192745207,-0.004006021312112694,0.004006021312112694,46.0
ingarangi,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
ingoa,-0.0028232722037285778,0.017344242296154225,0.014520970092425648,-0.020167514499882803,0.020167514499882803,14.0
inu,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
ināianei,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
iwi,0.010031176338090413,-0.0034235914996773534,0.006607584838413059,0.013454767837767766,0.013454767837767766,16.0
kaha,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
kahu,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
kai,0.0017816199860283535,-0.0012161164023526871,0.0005655035836756664,0.002997736388381041,0.002997736388381041,10.0
kanohi,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
kapa,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
kara,-0.0017452828093896273,0.005360908502090113,0.0036156256927004854,-0.00710619131147974,0.00710619131147974,8.0
karakia,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
karanga,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
kaupapa,0.004654875432615609,-0.0038128470104099826,0.0008420284222056267,0.008467722443025592,0.008467722443025592,54.0
kawa,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
kawenga,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
koe,0.008908099930141765,-0.006080582011763435,0.00282751791837833,0.0149886819419052,0.0149886819419052,50.0
koha,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
konei,-0.002539723903893501,0.013001930495250964,0.010462206591357463,-0.015541654399144464,0.015541654399144464,12.0
konā,0.005015588169045206,-0.0017117957498386767,0.0033037924192065296,0.006727383918883883,0.006727383918883883,8.0
koro,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
kotahitanga,0.005015588169045206,-0.0017117957498386767,0.0033037924192065296,0.006727383918883883,0.006727383918883883,8.0
koutou,0.049497338112372335,-0.00844659989550303,0.041050738216869304,0.05794393800787537,0.05794393800787537,42.0
ku,-0.00011013012956183787,0.00011276062628704098,2.630496725203118e-06,-0.00022289075584887885,0.00022289075584887885,12.0
kuia,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
kupu,0.0017816199860283535,-0.0012161164023526871,0.0005655035836756664,0.002997736388381041,0.002997736388381041,10.0
kura,0.0017816199860283535,-0.0012161164023526871,0.0005655035836756664,0.002997736388381041,0.002997736388381041,10.0
kāhaki,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
kākano,-7.342008637455914e-05,7.517375085802791e-05,1.7536644834687724e-06,-0.00014859383723258706,0.00014859383723258706,8.0
kāreti,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
kāroti,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
kāwanatanga,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
kēhua,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
kēmu,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
kōhatu,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
kōkā,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
kōrero,-0.005477393531963674,0.008100766548776424,0.00262337301681275,-0.013578160080740097,0.013578160080740097,44.0
kōtiro,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
kōura,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
kūmara,-0.0011146994375262303,0.002282648848182695,0.0011679494106564647,-0.0033973482857089254,0.0033973482857089254,6.0
mahi,0.03009352901427123,-0.01027077449903206,0.01982275451523917,0.04036430351330329,0.04036430351330329,48.0
mamae,0.002082558702303342,-0.0010661506732333194,0.0010164080290700228,0.0031487093755366616,0.0031487093755366616,6.0
mana,-0.0017452828093896273,0.005360908502090113,0.0036156256927004854,-0.00710619131147974,0.00710619131147974,8.0
