Predecessor,mā,nā,Key,Diff,DiffAbs,Count
ahakoa,-0.0038847797955535025,0.01198495894372889,0.008100179148175388,-0.015869738739282394,0.015869738739282394,8.0
and,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
arawa,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
aroha,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
arā,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
brian,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
ehara,-0.00883266772784672,0.031791339516895105,0.022958671789048386,-0.04062400724474183,0.04062400724474183,18.0
engari,-0.00038584623506767053,0.00039679222755185977,1.0945992484189232e-05,-0.0007826384626195304,0.0007826384626195304,16.0
hea,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
hoa,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
hoki,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
hunga,-0.008036410155298108,0.0826439342211508,0.07460752406585269,-0.0906803443764489,0.0906803443764489,22.0
hōnore,-0.0038847797955535025,0.01198495894372889,0.008100179148175388,-0.015869738739282394,0.015869738739282394,8.0
ia,-0.0029892342079349686,0.00461105276755926,0.0016218185596242915,-0.007600286975494228,0.007600286975494228,10.0
ika,-0.0024866242503529356,0.005114333564555684,0.0026277093142027482,-0.00760095781490862,0.00760095781490862,6.0
inā,0.0045874022656382015,-0.002358770668501912,0.0022286315971362896,0.006946172934140113,0.006946172934140113,6.0
ināianei,0.011075570034059002,-0.003796590200800367,0.007278979833258635,0.014872160234859369,0.014872160234859369,8.0
