Argument,APV,AVP,Key,Diff,DiffAbs,Count
aha,-0.0016259668299547234,0.004398195358816754,0.0027722285288620304,-0.006024162188771477,0.006024162188771477,10.0
ahau,0.0005074538663520541,-0.0004575495634732333,4.990430287882074e-05,0.0009650034298252874,0.0009650034298252874,14.0
ahu,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
ako,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
aotearoa,0.011617627596780984,-0.0019640851075220893,0.009653542489258895,0.013581712704303073,0.013581712704303073,10.0
ara,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
arawhata,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
ata,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
atu,0.0012784400692405229,-0.0008645362678179006,0.00041390380142262225,0.0021429763370584233,0.0021429763370584233,8.0
au,0.03334664958803955,-0.006938597381344735,0.026408052206694812,0.04028524696938428,0.04028524696938428,34.0
awa,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
awau,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
awhi,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
charlie,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
haere,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
haki,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
hanga,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
hara,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
haramai,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
hau,0.007303014460077008,-0.0016462043644814473,0.005656810095595561,0.008949218824558455,0.008949218824558455,8.0
henare,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
hereni,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
hiahia,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
hine-nui-i-te-pō,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
hine-nui-te-pō,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
hoki,-0.00115589808411848,0.00234500428999064,0.00118910620587216,-0.0035009023741091197,0.0035009023741091197,8.0
hoko,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
hononga,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
huarahi,-0.0034210849486934645,0.027761820843320226,0.02434073589462676,-0.03118290579201369,0.03118290579201369,26.0
hui,-0.00231179616823696,0.00469000857998128,0.00237821241174432,-0.0070018047482182395,0.0070018047482182395,16.0
hui-tanguru,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
hāhi,-4.660930366197491e-05,4.7278829570931457e-05,6.695259089565438e-07,-9.388813323290638e-05,9.388813323290638e-05,10.0
hāmene,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
hīnau,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
i,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
ia,0.06538041090266995,-0.008842610270151161,0.05653780063251879,0.07422302117282112,0.07422302117282112,48.0
ingarangi,0.0035436269338155074,-0.00119817662071552,0.0023454503130999876,0.004741803554531027,0.004741803554531027,6.0
ingoa,-0.002288491516405972,0.009285459500820695,0.006996967984414723,-0.011573951017226667,0.011573951017226667,14.0
inu,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
ināianei,0.0012784400692405229,-0.0008645362678179006,0.00041390380142262225,0.0021429763370584233,0.0021429763370584233,8.0
iwi,0.0073695121319737825,-0.002990149010895881,0.004379363121077902,0.010359661142869663,0.010359661142869663,16.0
kaha,-0.0004933733976672309,0.0006672807057952384,0.00017390730812800743,-0.0011606541034624692,0.0011606541034624692,6.0
