ID,Speaker,Head,Sequence,SubLocation,Pivot,HasPivot,Fragment
mbc127.130.2,Rena Ngā-taki,nā na,"['nā na', 'me.aku tamariki', '* tēnei whare', 'i whakairo']",3.0,['*'],True,Nāna/me aku tamariki tāne/tēnei whare/i whakairo.
mbc203.5.4,Hemana Waaka,nā.te taura,"['nā.te taura', 'i.te reo', '* tēnei hui', 'i karanga', 'ki.te whanga-nui-ā-tara']",3.0,['*'],True,Nā Te Taura Whiri/i te Reo/tēnei hui/i karanga/ki Te Whanga-nui-ā-Tara.
mbc015.77.20.1995-08-30,Hemana Waaka,nā tētahi tonu,"['nā tētahi tonu', 'o.ngā tōrangapū', 'o hapanihi', '* tēnei pānui', 'i whakatau']",4.0,"['o', '*']",True,nā tētahi tonu/o ngā tōrangapū/o Hapanihi/tēnei pānui/i whakatau.
mbc179.87.10,Pierre Lyndon,nā.ngā whakataetae,"['nā.ngā whakataetae', 'o.te manu', '* māua', 'i whakahuihui', 'i.te wiki']",3.0,['*'],True,nā ngā whakataetae/o te Manu Kōrero/māua/i whakahuihui/i te wiki nei
mbc040.54.0.1995-11-27,Wena Tait,nā.te kaha,"['nā.te kaha', 'o.te tīma', 'o tāmaki-makau-rau', 'te tīma', 'o.te waiariki', 'i eke', 'ki.te taumata', 'i wawata']",5.0,"['o', 'te']",True,Nā te kaha/o te tīma/o Tāmaki-makau-rau kāhore/te tīma/o Te Waiariki/i eke atu/ki te taumata/i wawatatia.
mbc001.29.0.1995-04-07,Hemana Waaka,nā.te kore,"['nā.te kore', 'o.ngā pirihimana', 'me.ngā iwi', 'o whanga-nui', 'e mārama', 'ki.te hōhonutanga', 'me.te wairua', 'o.te haka', 'e karawhiu', 'e.te iwi', 'e noho', 'i pākaitore']",11.0,"['o', 'e', 'e', 'e']",True,Nā te kore/o ngā pirihimana/me ngā iwi/o Whanga-nui/e mārama/ki te hōhonutanga/me te wairua/o te haka/e karawhiua atu ana/e te iwi/e noho mai rā/i Pākaitore
mbc037.42.7.1995-07-13,Rere-ata Makiha,mā.ngā rōpū,"['mā.ngā rōpū', 'me.te iwi', 'o.te motu', '* tērā', 'e whakatau']",4.0,['*'],True,mā ngā rōpū/me te iwi katoa/o te motu/tērā/e whakatau.
mbc067.254.1.1995-11-15,Maihi Nikora,mā gary,"['mā gary', 'o.te āti', 'i.te waka-o-māui', '* rātou', 'e hautū']",4.0,['*'],True,Kua riro hoki/mā [Gary McDonald]/o Te Āti Awa mai/i Te Waka-o-Māui/rātou/e hautū.
mbc264.4.7,Kīngi Ihaka?,mā.te mahi,"['mā.te mahi', 'me.te kōrero', 'nā na', 'i whakatauira', 'ka tū', '* tātou', 'i.ngā ao', 'e rua']",7.0,"['nā', 'i', 'ka', '*']",True,Mā te mahi/me te kōrero/nāna/i whakatauira/ka tū kaha/tātou/i ngā ao/e rua.
mbc229.37.42.1996-05-26,Te Atairangikaahu,mā.tō tātou matua,"['mā.tō tātou matua', 'i.te wāhi', '* tātou', 'hei ārahi', 'ki.te huarahi', 'e tika']",3.0,['*'],True,mā tō tātou matua nui/i te wāhi ngaro arā/tātou katoa/hei ārahi/ki te huarahi/e tika ana
mbc030.58.2.1995-08-02,Rere-ata Makiha,mā inanahi,"['mā inanahi', 'me.ngā kaitākaro', 'o counties', 'me.te raki-paewhenua', 'hei kōrero', 'i.aua take']",4.0,['o'],True,I hui/a [Brian Lahore]/mā inanahi/me ngā kaitākaro/o [Counties]/me te Raki-paewhenua/hei kōrero/i aua take
mbc018.64.5.1995-09-25,Hemana Waaka,mā.ngā raruraru,"['mā.ngā raruraru', 'i.te tahunatangahia', 'o.te kura', 'i taka-hue', 'hei whakatōmuri', 'i.ā rātou mahi', 'ki.te whakatutuki', 'i.ngā kerēme', 'a.te iwi']",4.0,['i'],True,mā ngā raruraru/i te tahunatangahia/o te kura/i Taka-hue/hei whakatōmuri/i ā rātou mahi/ki te whakatutuki/i ngā kerēme/a te iwi.
