SubHead,AVP,APV,Key,Diff,DiffAbs,Count
aituā,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
ako,-0.011188281305968729,0.03721857616848926,0.02603029486252053,-0.04840685747445799,0.04840685747445799,48.0
arataki,-0.0012552043182459146,0.0017193326909306517,0.0004641283726847371,-0.0029745370091765664,0.0029745370091765664,12.0
atawhai,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
aukati,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
awhi,0.00036234265558984747,-0.0003308824250195086,3.146023057033889e-05,0.000693225080609356,0.000693225080609356,10.0
haere,0.00036234265558984747,-0.0003308824250195086,3.146023057033889e-05,0.000693225080609356,0.000693225080609356,10.0
haina,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
hanga,0.00593966888827683,-0.003615973287985571,0.002323695600291259,0.0095556421762624,0.0095556421762624,26.0
haramai,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
hari,-0.0010557153641996388,0.0012050667180906625,0.00014935135389102373,-0.0022607820822903016,0.0022607820822903016,22.0
harry,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
hautū,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
heke,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
here,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
heri,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
hiahia,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
hiki,0.004958271071314176,-0.0029107102620048874,0.0020475608093092888,0.007868981333319064,0.007868981333319064,20.0
hoatu,0.011785544575434142,-0.002690567553347442,0.0090949770220867,0.014476112128781584,0.014476112128781584,14.0
hohou,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
hoko,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
homai,0.002013347330423596,-0.0013789045468839201,0.0006344427835396759,0.0033922518773075163,0.0033922518773075163,12.0
hopu,0.00570030041850841,-0.001952015443860804,0.0037482849746476063,0.007652315862369214,0.007652315862369214,10.0
horoi,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
hura,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
hāmene,0.00036234265558984747,-0.0003308824250195086,3.146023057033889e-05,0.000693225080609356,0.000693225080609356,10.0
hāpai,-0.0012552043182459146,0.0017193326909306517,0.0004641283726847371,-0.0029745370091765664,0.0029745370091765664,12.0
ingarangi,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
inoi,0.00036234265558984747,-0.0003308824250195086,3.146023057033889e-05,0.000693225080609356,0.000693225080609356,10.0
kaiwhakahaere,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
kaiārahi,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
kapo,-0.0013401397114365086,0.0036713481347914554,0.002331208423354947,-0.005011487846227964,0.005011487846227964,6.0
karanga,0.006255114943306918,-0.0028560087658571964,0.0033991061774497214,0.009111123709164115,0.009111123709164115,16.0
kawe,0.00593966888827683,-0.003615973287985571,0.002323695600291259,0.0095556421762624,0.0095556421762624,26.0
kimi,0.011785544575434142,-0.002690567553347442,0.0090949770220867,0.014476112128781584,0.014476112128781584,14.0
kiri,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
kite,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
kohi,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
kohikohi,0.003127557471653459,-0.0014280043829285982,0.0016995530887248607,0.0045555618545820575,0.0045555618545820575,8.0
konei,-0.0008368028788306094,0.0011462217939537675,0.00030941891512315813,-0.0019830246727843767,0.0019830246727843767,8.0
kore,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
kotiti,0.001006673665211798,-0.0006894522734419601,0.00031722139176983794,0.0016961259386537582,0.0016961259386537582,6.0
