Predecessor,Head_x,APV,AV,AVP
tangata,na,2.0,9.0,7.0
hunga,rātou,1.0,7.0,1.0
mea,na,,2.0,2.0
kaupapa,pōti,,2.0,
tau,toru,,2.0,
komiti,rātou,,2.0,
hōnore,na,,2.0,
wahine,na,,2.0,3.0
tētahi,na,,2.0,
riro,pākehā,,2.0,
tono,poari,,1.0,
tokotoru,rātou,,1.0,
titiro,wai,,1.0,
tono,mana,,1.0,
tuahine,u,,1.0,
tuku,ku,,1.0,
tuku,puku,,1.0,
tika,māori,1.0,1.0,
tika,kuini,,1.0,
tika,na,,1.0,
and,rātou,,1.0,
tauira,na,,1.0,
tau,whitu,,1.0,
tuku,taringa,,1.0,
taputapu,atua,,1.0,
tamāhine,ku,,1.0,
take,kōti,,1.0,
rōia,na,,1.0,
rīpoata,iwi,,1.0,
riro,āti,,1.0,
riro,āpiha,,1.0,
riro,tokoono,,1.0,
riro,taina,,1.0,
riro,ray,,1.0,
riro,nui,,1.0,
tau,iwa,1.0,1.0,
tāne,rātou,,1.0,
ture,rātou,,1.0,
whakaae,iwi,,1.0,1.0
wāriu,karauna,,1.0,
wāhanga,ku,,1.0,
wā,pene,,1.0,
wā,iwi,,1.0,
whāngai,waha,,1.0,
whenua,rātou,,1.0,
whare,mātou,,1.0,
whakarite,mokopuna,,1.0,
whakapae,nanakia,,1.0,
whakahoki,rohe,,1.0,
whakaae,nāhi,,1.0,
whakaae,kuratini,,1.0,
whakaae,na,,1.0,
ture,iwi,,1.0,
whai,pākehā,,1.0,
waiho,wā,,1.0,
waiho,wairua,,1.0,
waiho,tāpapa,,1.0,
waiho,reo,,1.0,
waiho,waha,,1.0,
waiho,iwi,1.0,1.0,
tūpuna,koutou,,1.0,
tīmata,tiapanihi,,1.0,
tātou,atua,,1.0,
tāngata,rātou,1.0,1.0,
riro,kuia,,1.0,
riro,kōhanga,,1.0,1.0
riro,kāwanatanga,,1.0,
riro,gary,,1.0,
riro,wira,,1.0,
kōrero,rātou,,1.0,
kōrero,na,,1.0,
kōhanga,tari,,1.0,
kī,hepi,,1.0,
kī,koutou,,1.0,
korotangi,pononga,,1.0,
konei,tātou,,1.0,
koia,na,,1.0,
kaupapa,ākonga,,1.0,
kaupapa,rangatira,,1.0,
katoa,iwi,,1.0,
kamupene,minita,,1.0,
kai,waha,,1.0,
kaha,rātou,,1.0,
ināianei,kāwana,,1.0,
ināianei,na,,1.0,
ika,ohu,,1.0,
hea,ku,,1.0,
engari,kaiwaiata,,1.0,
engari,ku,,1.0,
ehara,poari,,1.0,
ehara,mīhana,,1.0,
ehara,kaunihera,,1.0,
ehara,rātou,,1.0,1.0
ehara,na,,1.0,
brian,inanahi,,1.0,
aroha,tāngata,,1.0,
kōrero,ahau,,1.0,
mahue,mokopuna,,1.0,
mana,māori,,1.0,1.0
noho,tiati,,1.0,
arawa,kōti,,1.0,
riro,na,2.0,1.0,2.0
reo,atua,,1.0,
reira,tāne,,1.0,
reira,ku,,1.0,
reira,na,,1.0,
pōti,tangata,,1.0,
pērā,mātua,,1.0,
pēnei,tuakana,,1.0,
pukapuka,apirana,,1.0,
pai,wira,,1.0,
pai,tauiwi,,1.0,
noho,ia,,1.0,
mea,koutou,,1.0,
noho,mātou,,1.0,
nanakia,rātou,,1.0,
mōnehu,ihu,,1.0,
mōhio,wai,1.0,1.0,
mōhio,iwi,,1.0,
māori,pākehā,,1.0,
mutunga,iwi,,1.0,
mehemea,māori,,1.0,
mea,puea,,1.0,
mea,kāwanatanga,,1.0,
mea,mātou,,1.0,
mea,rātou,,1.0,1.0
āhei,ku,,1.0,
ahakoa,koutou,,,1.0
ahakoa,na,,,1.0
arā,john,,,1.0
ehara,ku,1.0,,
engari,iwi,1.0,,
engari,matua,1.0,,
engari,momo,1.0,,
engari,mātua,,,1.0
hoa,wai,1.0,,
hoki,mātou,1.0,,
ia,kāwana,,,1.0
ia,tari,1.0,,
ia,tātou,,,1.0
inā,u,1.0,,
iwi,matua,1.0,,
iwi,kuini,1.0,,
kaikutikuti,rātou,1.0,,
kaiārahi,kāwanatanga,,,1.0
kake,rātou,,,1.0
karaitiana,tauiwi,,,1.0
kaupapa,na,1.0,,
kaupapa,kūare,,,1.0
kite,hunga,,,1.0
kite,māori,1.0,,
kite,tika,,,1.0
koe,u,,,1.0
koia,āhua,1.0,,
konei,iwi,1.0,,
konei,hoa,,,1.0
koroua,na,,,1.0
kuia,na,1.0,,
kuia,rangi-pare,,,1.0
kāmura,na,1.0,,
kāre,kaute,,,1.0
kātahi,hui,,,1.0
kī,kāwana,,,1.0
kī,kaiako,,,1.0
kōrero,u,,,1.0
mahi,kāwanatanga,,,1.0
mea,ku,,,2.0
mea,kaumātua,,,1.0
mea,niho,,,1.0
mehemea,koutou,,,1.0
minita,iwi,,,1.0
moe-rewa,na,,,1.0
motu,iwi,1.0,,
mōhio,kaituhi,,,1.0
na,rātou,,,1.0
nanakia,na,,,1.0
noho,rātou,,,1.0
noho,u,,,1.0
noho,reimana,,,1.0
ono,toru,1.0,,
pai,kotahi,,,1.0
pai,tāne,,,1.0
pea,u,,,1.0
pea,kura,1.0,,
pākeke,rātou,1.0,,
pānui,upoko-o-te-ika,,,1.0
pūtea,waru,1.0,,
reo,na,,,1.0
riro,iwi,1.0,,2.0
riro,kāwana,1.0,,
riro,tātou,,,1.0
riro,u,1.0,,
riro,māori,1.0,,
riro,pononga,1.0,,
riro,kura,1.0,,
riro,tangata,,,1.0
riro,aurere,,,2.0
riro,komiti,1.0,,
riro,koroua,,,1.0
riro,kē,,,1.0
riro,māreikura,,,1.0
riro,putiputi,,,1.0
riro,pūtea,,,1.0
riro,rangatahi,,,1.0
riro,ringa,1.0,,
riro,tauhou,1.0,,
riro,tikanga,,,1.0
riro,ture,,,1.0
riro,waka,1.0,,
riro,whānau,,,1.0
rua,iwa,1.0,,
rua,ono,1.0,,
rua,rua,1.0,,
rākau,tūpuna,,,1.0
rātou,kāwanatanga,,,1.0
rātou,kiri,,,1.0
rōpū,rātou,,,1.0
take,rōpū,1.0,,
tamariki,ono,,,1.0
taonga,hau,1.0,,
tekau,toru,2.0,,
tekau,waru,1.0,,
tekau,rima,1.0,,
tekau,whā,1.0,,
tika,tangata,,,1.0
tika,take,,,1.0
tikanga,kaunihera,1.0,,
tikanga,papa,,,1.0
tino,ku,1.0,,
tohunga,rātou,,,1.0
toru,whā,1.0,,
tou,iwi,,,1.0
tuku,kāwanatanga,,,1.0
tuku,rangatahi,,,1.0
tuku,waiata,1.0,,
tāngata,rāua,,,2.0
tāra,na,1.0,,
tātou,iwi,,,1.0
tātou,māori,1.0,,
tēnei,ku,,,1.0
tēnā,na,,,1.0
tēnā,u,1.0,,
tūpuna,rātou,,,1.0
waiho,rātou,1.0,,
waiho,poari,,,1.0
waiho,tauiwi,1.0,,
waiho,māori,1.0,,
waiho,kupu,1.0,,
waiho,rahi,1.0,,
waiho,rino,1.0,,
waka,whānau,,,1.0
whakaatanga,hunga,,,1.0
whakahoki,iwi,1.0,,
whakairo,paki,1.0,,
whakapae,na,,,3.0
whakapae,ringaringa,,,1.0
whakataetae,hotu,,,1.0
wherawhera,aha,,,1.0
whā,tahi,1.0,,
wiki,kura,,,1.0
