Predecessor,Head,Sequence_x
tangata,na,18
hunga,rātou,9
riro,na,5
wahine,na,5
mea,na,4
whakapae,na,3
riro,iwi,3
whakaae,iwi,2
hōnore,na,2
tāngata,rātou,2
tāngata,rāua,2
mana,māori,2
tekau,toru,2
mōhio,wai,2
waiho,iwi,2
tau,toru,2
tau,iwa,2
tētahi,na,2
komiti,rātou,2
kaupapa,pōti,2
riro,pākehā,2
riro,aurere,2
mea,ku,2
ehara,rātou,2
mea,rātou,2
riro,kōhanga,2
tika,māori,2
tika,kuini,1
tikanga,papa,1
taonga,hau,1
taputapu,atua,1
titiro,wai,1
tino,ku,1
tauira,na,1
tau,whitu,1
tikanga,kaunihera,1
tekau,rima,1
tika,tangata,1
tika,take,1
tekau,waru,1
tika,na,1
tekau,whā,1
ahakoa,koutou,1
tamāhine,ku,1
riro,whānau,1
riro,pūtea,1
riro,rangatahi,1
riro,ray,1
riro,ringa,1
riro,taina,1
riro,tangata,1
riro,tauhou,1
riro,tikanga,1
riro,tokoono,1
riro,ture,1
riro,tātou,1
riro,u,1
riro,waka,1
riro,wira,1
tamariki,ono,1
riro,āpiha,1
riro,āti,1
rua,iwa,1
rua,ono,1
rua,rua,1
rākau,tūpuna,1
rātou,kiri,1
rātou,kāwanatanga,1
rīpoata,iwi,1
rōia,na,1
tohunga,rātou,1
take,kōti,1
take,rōpū,1
rōpū,rātou,1
tuahine,u,1
tokotoru,rātou,1
waiho,rātou,1
waiho,tāpapa,1
waiho,waha,1
waiho,wairua,1
waiho,wā,1
waka,whānau,1
whai,pākehā,1
whakaae,kuratini,1
whakaae,na,1
whakaae,nāhi,1
whakaatanga,hunga,1
whakahoki,iwi,1
whakahoki,rohe,1
whakairo,paki,1
whakapae,nanakia,1
whakapae,ringaringa,1
whakarite,mokopuna,1
whakataetae,hotu,1
whare,mātou,1
whenua,rātou,1
wherawhera,aha,1
whā,tahi,1
whāngai,waha,1
wiki,kura,1
wā,iwi,1
wā,pene,1
wāhanga,ku,1
wāriu,karauna,1
waiho,tauiwi,1
waiho,rino,1
tono,mana,1
waiho,reo,1
tono,poari,1
toru,whā,1
tou,iwi,1
riro,pononga,1
tuku,ku,1
tuku,kāwanatanga,1
tuku,puku,1
tuku,rangatahi,1
tuku,taringa,1
tuku,waiata,1
ture,iwi,1
ture,rātou,1
tāne,rātou,1
tāra,na,1
tātou,atua,1
tātou,iwi,1
tātou,māori,1
tēnei,ku,1
tēnā,na,1
tēnā,u,1
tīmata,tiapanihi,1
tūpuna,koutou,1
tūpuna,rātou,1
waiho,kupu,1
waiho,māori,1
waiho,poari,1
waiho,rahi,1
riro,putiputi,1
riro,kāwanatanga,1
riro,nui,1
kī,kāwana,1
kaikutikuti,rātou,1
kaiārahi,kāwanatanga,1
kake,rātou,1
kamupene,minita,1
karaitiana,tauiwi,1
katoa,iwi,1
kaupapa,kūare,1
kaupapa,na,1
kaupapa,rangatira,1
kaupapa,ākonga,1
kite,hunga,1
kite,māori,1
koe,u,1
koia,na,1
koia,āhua,1
konei,hoa,1
konei,iwi,1
konei,tātou,1
korotangi,pononga,1
koroua,na,1
kuia,na,1
kuia,rangi-pare,1
kāmura,na,1
kāre,kaute,1
kātahi,hui,1
kī,hepi,1
kī,kaiako,1
kai,waha,1
kaha,rātou,1
iwi,matua,1
engari,ku,1
and,rātou,1
arawa,kōti,1
aroha,tāngata,1
arā,john,1
brian,inanahi,1
ehara,kaunihera,1
ehara,ku,1
ehara,mīhana,1
ehara,na,1
ehara,poari,1
engari,iwi,1
engari,kaiwaiata,1
engari,matua,1
iwi,kuini,1
engari,momo,1
engari,mātua,1
hea,ku,1
hoa,wai,1
hoki,mātou,1
ia,kāwana,1
ia,tari,1
ia,tātou,1
ika,ohu,1
inā,u,1
ināianei,kāwana,1
ināianei,na,1
kī,koutou,1
kōhanga,tari,1
riro,māreikura,1
kōrero,ahau,1
pai,kotahi,1
pai,tauiwi,1
pai,tāne,1
pai,wira,1
pea,kura,1
pea,u,1
pukapuka,apirana,1
pākeke,rātou,1
pānui,upoko-o-te-ika,1
pēnei,tuakana,1
pērā,mātua,1
pōti,tangata,1
pūtea,waru,1
reira,ku,1
reira,na,1
reira,tāne,1
reo,atua,1
reo,na,1
riro,gary,1
riro,komiti,1
riro,koroua,1
riro,kuia,1
riro,kura,1
riro,kāwana,1
ahakoa,na,1
riro,kē,1
riro,māori,1
ono,toru,1
noho,u,1
noho,tiati,1
mehemea,māori,1
kōrero,na,1
kōrero,rātou,1
kōrero,u,1
mahi,kāwanatanga,1
mahue,mokopuna,1
mea,kaumātua,1
mea,koutou,1
mea,kāwanatanga,1
mea,mātou,1
mea,niho,1
mea,puea,1
mehemea,koutou,1
minita,iwi,1
noho,reimana,1
moe-rewa,na,1
motu,iwi,1
mutunga,iwi,1
māori,pākehā,1
mōhio,iwi,1
mōhio,kaituhi,1
mōnehu,ihu,1
na,rātou,1
nanakia,na,1
nanakia,rātou,1
noho,ia,1
noho,mātou,1
āhei,ku,1
