Predecessor,Sequence_x
riro,44
tangata,18
mea,14
waiho,14
hunga,9
ehara,7
tuku,6
tika,6
engari,6
kaupapa,6
whakaae,5
noho,5
whakapae,5
tekau,5
wahine,5
tau,5
tāngata,4
mōhio,4
kōrero,4
kī,4
pai,4
ia,3
reira,3
konei,3
rua,3
tātou,3
nanakia,2
pea,2
tono,2
tikanga,2
ture,2
mehemea,2
reo,2
mana,2
rātou,2
take,2
tēnā,2
ahakoa,2
tētahi,2
kite,2
ināianei,2
iwi,2
hōnore,2
whakahoki,2
wā,2
koia,2
komiti,2
kuia,2
tūpuna,2
taputapu,1
wāhanga,1
tauira,1
titiro,1
wiki,1
whāngai,1
whā,1
wherawhera,1
whenua,1
whare,1
wāriu,1
tino,1
whakataetae,1
tohunga,1
tokotoru,1
tīmata,1
toru,1
whakarite,1
whakairo,1
tou,1
tuahine,1
whakaatanga,1
whai,1
tāne,1
tāra,1
waka,1
tēnei,1
taonga,1
pērā,1
tamāhine,1
tamariki,1
kāmura,1
koroua,1
korotangi,1
koe,1
katoa,1
karaitiana,1
kamupene,1
kake,1
kaiārahi,1
kaikutikuti,1
kai,1
kaha,1
inā,1
ika,1
hoki,1
hoa,1
hea,1
brian,1
arā,1
aroha,1
arawa,1
kāre,1
kātahi,1
kōhanga,1
pākeke,1
rōpū,1
rōia,1
rīpoata,1
rākau,1
pūtea,1
pōti,1
and,1
pēnei,1
pānui,1
pukapuka,1
mahi,1
ono,1
na,1
mōnehu,1
māori,1
mutunga,1
motu,1
moe-rewa,1
minita,1
mahue,1
āhei,1
