Predecessor,Head,Sequence_x
te,na,16
*,iwi,7
*,na,7
*,u,5
ngā,rātou,4
ko.te,na,4
*,rātou,4
i.te,na,4
o.te,na,4
nā.te,na,3
i.te,toru,3
ki.te,rātou,3
*,māori,3
a.te,rātou,3
*,ku,3
e,na,3
e,wai,3
ko.te,rātou,3
ki.ngā,rātou,3
kia,na,2
e,iwi,2
i,na,2
i,tātou,2
i.ngā,rāua,2
e,kāwanatanga,2
kia,aurere,2
e,māori,2
*,whā,2
ki.te,na,2
e,tauiwi,2
ko.te,kāwanatanga,2
ka,na,2
*,toru,2
te,māori,2
ā,rātou,2
*,pōti,2
o.te,rātou,2
*,koutou,2
te,rātou,2
ki.tana,u,1
ko,kāwanatanga,1
kia,tiati,1
ka,tokoono,1
ko,atua,1
ko,hau,1
ka,reo,1
ko.ngā,paki,1
kia,rohe,1
ko.ngā,rātou,1
ko.taku,na,1
ko.te,atua,1
ka,reimana,1
ko.te,iwi,1
ko.te,kaituhi,1
ko.te,kaunihera,1
kia,tauhou,1
kia,pūtea,1
kia,ringa,1
ka,āti,1
ki,na,1
ki,iwi,1
ki.te,iwi,1
kei.te,wira,1
kei,ku,1
ko.te,ku,1
ki.te,ohu,1
ki.te,puea,1
kia,aha,1
ka,u,1
ka,āpiha,1
kia,iwi,1
ka,wira,1
kia,ku,1
ka,waiata,1
kia,mana,1
ka,waha,1
kia,nui,1
*,atua,1
kua,poari,1
ko.te,rangatahi,1
ngā,ku,1
ngā,pākehā,1
ngā,tūpuna,1
nā,ku,1
nā,rātou,1
nā,tāne,1
nā.te,niho,1
nō,na,1
nō.te,iwa,1
nō.te,kaumātua,1
o,hoa,1
o,na,1
o.ngā,iwi,1
o.ngā,rātou,1
o.ngā,rōpū,1
o.ngā,tari,1
o.te,pene,1
te,kotahi,1
te,wai,1
tō,rātou,1
ā,matua,1
ā.tō,iwi,1
ngā,mātou,1
ngā,iwi,1
ko.te,rangi-pare,1
mō.ō,rātou,1
ko.te,tauiwi,1
ko.tō,papa,1
kua,gary,1
kua,kura,1
kua,kōhanga,1
kua,mokopuna,1
ka,pākehā,1
kua,rangatahi,1
kua,taina,1
kua,waka,1
kua,whānau,1
me,koutou,1
me.taku,ku,1
me.te,na,1
mā,iwi,1
mā,kiri,1
mā,kāwanatanga,1
mā,māori,1
mā.te,take,1
mō.ngā,ono,1
mō.te,hotu,1
ka,ray,1
ka,ku,1
ka,poari,1
e,tuakana,1
*,waru,1
*,wā,1
*,āhua,1
a,inanahi,1
a,kāwana,1
a,na,1
a,pononga,1
a,rātou,1
a.te,kuini,1
a.te,kōti,1
a.te,na,1
a.te,rua,1
e,ahau,1
e,hepi,1
e,kaiako,1
e,karauna,1
e,komiti,1
e,ku,1
e,kuini,1
e,kuratini,1
e,nanakia,1
e,putiputi,1
e,tangata,1
*,wairua,1
*,waha,1
*,tātou,1
*,momo,1
*,hunga,1
*,iwa,1
*,john,1
*,kaiwaiata,1
*,kaunihera,1
*,kaute,1
*,kura,1
*,kāwana,1
*,kōti,1
*,matua,1
*,mātou,1
*,tāpapa,1
*,mātua,1
*,mīhana,1
*,poari,1
*,puku,1
*,rahi,1
*,rima,1
*,rino,1
*,tahi,1
*,taringa,1
*,tāngata,1
e,tari,1
e,tāne,1
ka,nāhi,1
e,u,1
i.te,apirana,1
i.te,iwa,1
i.te,iwi,1
i.te,koutou,1
i.te,ku,1
i.te,mātou,1
i.te,ono,1
i.te,tiapanihi,1
i.te,whitu,1
i.tā,rātou,1
ka,hunga,1
ka,ia,1
ka,iwi,1
ka,koroua,1
*,hui,1
ka,kuia,1
ka,kupu,1
ka,kāwana,1
ka,kē,1
ka,kōhanga,1
ka,māori,1
ka,māreikura,1
ka,mātou,1
i.ngā,rātou,1
i,ture,1
i,tikanga,1
he,ākonga,1
e.te,na,1
e.ō,koutou,1
he,ihu,1
he,kūare,1
he,minita,1
he,na,1
he,rangatira,1
he,tangata,1
he,waru,1
he,whānau,1
hei,pākehā,1
i,tangata,1
hei,upoko-o-te-ika,1
i,iwi,1
i,kura,1
i,kāwana,1
i,mokopuna,1
i,mātua,1
i,pononga,1
i,pākehā,1
i,ringaringa,1
i,rātou,1
ō,waha,1
