Predecessor,Head,Sequence_x
te tangata,na,9
ko.te tangata,na,3
ki.te hunga,rātou,3
te wahine,na,3
o.te tangata,na,3
e mōhio,wai,2
* tēnei kaupapa,pōti,2
* tētahi,na,2
* waiho,iwi,2
a.te komiti,rātou,2
e tika,māori,2
ko.te hunga,rātou,2
kia riro,na,2
kia riro,aurere,2
i.ngā tāngata,rāua,2
ka riro,na,2
nā.te hōnore,na,2
i.te tau,toru,2
te mana,māori,2
te hunga,rātou,2
* ehara,rātou,2
ā,rātou,2
ki.te mea,puea,1
kia riro,iwi,1
tō rātou ture,rātou,1
kia noho,tiati,1
ki.te whakahoki,iwi,1
ki.te tangata,na,1
o.te wā,pene,1
kia riro,nui,1
ki.te koroua,na,1
ki.te ika,ohu,1
ki.tana tuahine,u,1
ki.ngā pākeke,rātou,1
ki.ngā kaikutikuti,rātou,1
te tāra,na,1
kia riro,pūtea,1
ki tēnei tangata,na,1
kia riro,ringa,1
kia riro,tauhou,1
kia tono,mana,1
kia whakahoki,rohe,1
kia wherawhera,aha,1
kia āhei,ku,1
ko tēnei kaiārahi,kāwanatanga,1
te titiro,wai,1
ko tēnei taputapu,atua,1
ko ēnei taonga,hau,1
ko.ngā tāngata,rātou,1
ko.ngā whakairo,paki,1
ko.taku kuia,na,1
ki.ngā hunga,rātou,1
ki konei,iwi,1
ko.te karaitiana,tauiwi,1
ā iwi,matua,1
ka noho,ia,1
ka noho,mātou,1
ka noho,reimana,1
ka noho,u,1
ka riro,koroua,1
ka riro,kuia,1
ka riro,kāwana,1
ka riro,kē,1
ka riro,kōhanga,1
ka riro,māori,1
ka riro,māreikura,1
ā.tō na wā,iwi,1
ka riro,pākehā,1
ka riro,ray,1
kei.te pai,wira,1
ka riro,tokoono,1
ka riro,wira,1
ka riro,āpiha,1
ka riro,āti,1
ka tono,poari,1
ka tuku,ku,1
ka tuku,waiata,1
ka waiho,kupu,1
ka waiho,reo,1
ka whakaae,iwi,1
ka whakaae,nāhi,1
ka whāngai,waha,1
kei hea,ku,1
te tauira,na,1
ko.te mahi,kāwanatanga,1
ko.te kuia,rangi-pare,1
nā reira,ku,1
mō.ngā tamariki,ono,1
mō.te whakataetae,hotu,1
mō.ō mātou whenua,rātou,1
ngā mea,rātou,1
ngā minita,iwi,1
ngā māori,pākehā,1
ngā nanakia,rātou,1
ngā rākau,tūpuna,1
ngā tohunga,rātou,1
ngā tāngata,rātou,1
ngā whare,mātou,1
ngā wāhanga,ku,1
nā na,rātou,1
nā reira,tāne,1
o.te rōpū,rātou,1
nā.te mea,na,1
nā.te mea,niho,1
nō reira,na,1
nō.te mea,kaumātua,1
nō.te tau,iwa,1
o konei,hoa,1
o rōia,na,1
o.ngā kōhanga,tari,1
o.ngā rīpoata,iwi,1
o.ngā take,rōpū,1
o.ngā tūpuna,rātou,1
o.te hunga,rātou,1
o.te mea,na,1
mā.te tika,take,1
te mea,na,1
mā tātou,māori,1
te nanakia,na,1
ko.te mea,ku,1
ko.te mea,kāwanatanga,1
ko.te mea,rātou,1
ko.te mutunga,iwi,1
ko.te mōhio,kaituhi,1
ko.te reo,atua,1
ko.te riro,rangatahi,1
i.tā rātou kaha,rātou,1
ko.te tikanga,kaunihera,1
te pai,kotahi,1
ko.te wahine,na,1
ko.tō na tikanga,papa,1
kua mahue,mokopuna,1
kua riro,gary,1
kua riro,kura,1
kua riro,kōhanga,1
kua riro,taina,1
kua riro,waka,1
kua riro,whānau,1
kua tuku,rangatahi,1
kua waiho,poari,1
me kī,koutou,1
me.taku tamāhine,ku,1
me.te kōrero,na,1
mā rātou,kiri,1
mā rātou,kāwanatanga,1
mā tātou,iwi,1
ka kite,hunga,1
* ahakoa,koutou,1
i.te wahine,na,1
* tēnā,na,1
* waiho,māori,1
* tētahi ture,iwi,1
* tērā pea,u,1
* tēnā pea,kura,1
* tēnā kōrero,u,1
* tēnā,u,1
* tēnei take,kōti,1
* tekau,waru,1
* tēnei,ku,1
* tātou,atua,1
* tuku,taringa,1
* tuku,puku,1
* tou,iwi,1
* toru,whā,1
* waiho,rahi,1
* waiho,rino,1
* waiho,rātou,1
* waiho,tāpapa,1
* waiho,waha,1
* waiho,wairua,1
* waiho,wā,1
* whā,tahi,1
* ētahi whakaatanga,hunga,1
a brian,inanahi,1
a ia,kāwana,1
a korotangi,pononga,1
a moe-rewa,na,1
a tāne,rātou,1
a.te arawa,kōti,1
a.te iwi,kuini,1
a.te kāmura,na,1
* tekau,whā,1
* tekau,toru,1
a.te tokotoru,rātou,1
* ehara,poari,1
* engari,mātua,1
* engari,momo,1
* engari,matua,1
* engari,ku,1
* engari,kaiwaiata,1
* engari,iwi,1
* ehara,na,1
* tekau,rima,1
* ehara,mīhana,1
* ehara,ku,1
* ehara,kaunihera,1
* arā,john,1
* aroha,tāngata,1
* and,rātou,1
* hoki,mātou,1
* ia,tātou,1
* inā,u,1
* ināianei,kāwana,1
* ināianei,na,1
* katoa,iwi,1
* kite,māori,1
* koe,u,1
* koia,na,1
* koia,āhua,1
* kāre,kaute,1
* kātahi,hui,1
* mehemea,koutou,1
* mehemea,māori,1
* mōhio,iwi,1
* ono,toru,1
* rua,iwa,1
a.te rua,rua,1
e hoa,wai,1
i.te tīmata,tiapanihi,1
i riro,na,1
i tērā wiki,kura,1
i riro,tātou,1
i riro,ture,1
i riro,tikanga,1
i riro,pākehā,1
i riro,pononga,1
i riro,iwi,1
he whakapae,na,1
i pōti,tangata,1
i pērā,mātua,1
i kī,kāwana,1
i konei,tātou,1
i kake,rātou,1
hei whai,pākehā,1
i whakapae,na,1
i whakapae,ringaringa,1
i whakarite,mokopuna,1
i.ngā kōrero,rātou,1
i.te mea,koutou,1
i.te mea,ku,1
i.te mea,mātou,1
i.te mea,na,1
i.te motu,iwi,1
i.te pukapuka,apirana,1
i.te reo,na,1
i.te rua,ono,1
i.te tangata,na,1
i.te tau,iwa,1
* ahakoa,na,1
i.te tau,whitu,1
i.te tekau,toru,1
hei pānui,upoko-o-te-ika,1
he waka,whānau,1
e ia,tari,1
e riro,komiti,1
e tika,na,1
e tika,kuini,1
e riro,u,1
e riro,tangata,1
e riro,putiputi,1
e riro,kāwanatanga,1
e riro,iwi,1
he tika,tangata,1
e pēnei,tuakana,1
e pai,tāne,1
e pai,tauiwi,1
e kōrero,ahau,1
e kī,kaiako,1
e kī,hepi,1
e tino,ku,1
e tuku,kāwanatanga,1
e waiho,tauiwi,1
e whakaae,iwi,1
e whakaae,kuratini,1
e whakaae,na,1
e whakapae,na,1
e whakapae,nanakia,1
e wāriu,karauna,1
e.te kaupapa,na,1
e.ō ku tūpuna,koutou,1
he kamupene,minita,1
he kaupapa,kūare,1
he kaupapa,rangatira,1
he kaupapa,ākonga,1
he mōnehu,ihu,1
he pūtea,waru,1
ō kai,waha,1
